CVX;NUVA;Label
CVX-141;VAC1175;Inactivated trivalent influenza vaccine cell culture, normal dose, unspecified
CVX-88;VAC0110;Influenza vaccine, unspecified
CVX-203;VAC1182;Meningococcal ACWY polysaccharide vaccine conjugated to tetanus toxoid, unspecified
CVX-302;VAC1132;COVID-19 bivalent mRNA vaccine, original virus + Omicron BA.4/5 variant, 1.5 micrograms, unspecified
CVX-101;VAC0713;Typhoid polysaccharide vaccine, unspecified
CVX-32;VAC0152;Unconjugated meningococcal vaccine ACWY, unspecified
CVX-314;VAC1071;RSV antibody or vaccine, unspecified
CVX-09;VAC0920;Diphtheria-tetanus Td vaccine, unspecified
CVX-08;VAC0914;Hepatitis B vaccine, monovalent, pediatric dose, unspecified
CVX-213;VAC0648;COVID-19 vaccine, unspecified
CVX-19;VAC0134;BCG vaccine, unspecified
CVX-206;VAC1157;3rd generation smallpox vaccine, modified Ankara vaccinia virus, unspecified
CVX-114;VAC0643;Meningococcal ACWY conjugate vaccine, unspecified
CVX-62;VAC0859;HPV vaccine quadrivalent, unspecified
CVX-227;VAC1039;COVID-19 mRNA vaccine, original virus, 50 µg, unspecified
CVX-22;VAC0800;Diphtheria-tetanus-pertussis-Hib vaccine, unspecified
CVX-120;VAC0506;Pentavalent DTaPHibIPV vaccine, unspecified
CVX-230;VAC1117;COVID-19 bivalent mRNA vaccine against the original virus and the Omicron BA.4/5 variant, 5 micrograms, unspecified
CVX-204;VAC0586;ERVEBO
CVX-126;VAC0147;Influenza A(H1N1)2009 vaccine, unspecified
CVX-125;VAC0147;Influenza A(H1N1)2009 vaccine, unspecified
CVX-332;VAC1474;ENFLONSIA (CLESROVIMAB)
CVX-225;VAC1204;COVID-19 protein subunit vaccine, recombinant spike protein, with adjuvant, unspecified
CVX-20;VAC0602;DTaP - Diphtheria-Tetanus-Pertussis vaccine, standard dose, unspecified
CVX-100;VAC0324;Pneumococcal conjugate vaccine, 7 valent, unspecified
CVX-151;VAC0822;Influenza vaccine, live attenuated, unspecified
CVX-210;VAC1170;Non-replicating viral vector COVID-19 vaccine, chimpanzee adenovirus ChadOx1 encoding the SARS-CoV-2 spike protein
CVX-39;VAC0819;Inactivated Japanese Encephalitis vaccine, unspecified
CVX-178;VAC0600;OPV bivalent 1-3, unspecified
CVX-131;VAC0512;Typhus vaccine, unspecified
CVX-05;VAC0114;Live attenuated measles vaccine, unspecified
CVX-27;VAC0909;Botulinum antitoxin
CVX-516;VAC0696;KCONVAC MINHAI COVID-19 VACCINE
CVX-134;VAC0921;Japanese encephalitis vaccine, unspecified
CVX-69;VAC0899;Human Parainfluenza Virus Vaccine, unspecified
CVX-118;VAC0858;HPV vaccine bivalent, unspecified
CVX-130;VAC0551;DTaPIPV vaccine, standard dose, unspecified
CVX-106;VAC0602;DTaP - Diphtheria-Tetanus-Pertussis vaccine, standard dose, unspecified
CVX-195;VAC0088;DTIPV vaccine, unspecified
CVX-158;VAC0938;Quadrivalent influenza vaccine, unspecified
CVX-116;VAC0828;Rotavirus pentavalent vaccine, unspecified
CVX-508;VAC0760;RECOV
CVX-122;VAC0158;Rotavirus vaccine, unspecified
CVX-164;VAC0811;Meningococcal B vaccine, unspecified
CVX-511;VAC0651;CORONAVAC COVID-19 VACCINE
CVX-74;VAC0363;ROTASHIELD
CVX-503;VAC0768;COVIVAC
CVX-61;VAC1064;HIV vaccine, unspecified
CVX-52;VAC0910;Inactivated hepatitis A vaccine, adult dose, unspecified
CVX-80;VAC0895;Venezuelan Equine Encephalitis Vaccine, Unspecified
CVX-65;VAC1065;Leprosy vaccine
CVX-316;VAC1245;ABCWY meningococcal vaccine, unspecified
CVX-147;VAC0643;Meningococcal ACWY conjugate vaccine, unspecified
CVX-502;VAC0665;COVAXIN BHARAT BIOTECH COVID-19 VACCINE
CVX-190;VAC0711;Typhoid conjugate vaccine, unspecified
CVX-133;VAC0997;Pneumococcal 13-valent conjugate vaccine, unspecified
CVX-111;VAC1123;Live attenuated trivalent influenza vaccine, unspecified
CVX-13;VAC0497;Tetanus immunoglobulin, unspecified
CVX-29;VAC1062;CMV immune globulin
CVX-107;VAC0797;Diph-T-aP/ap, unspecified
CVX-512;VAC0678;Medicago-VLP-Covid
CVX-33;VAC0339;Pneumococcal polysaccharide vaccine 23-valent, unspecified
CVX-221;VAC1039;COVID-19 mRNA vaccine, original virus, 50 µg, unspecified
CVX-16;VAC0820;Inactivated whole influenza vaccine, unspecified
CVX-174;VAC0806;Live attenuated cholera vaccine, unspecified
CVX-321;VAC1141;Bird Flu H5N8 Vaccine, unspecified
CVX-506;VAC0652;CONVIDECIA
CVX-46;VAC0918;PRP-D Hib vaccine, unspecified
CVX-138;VAC0920;Diphtheria-tetanus Td vaccine, unspecified
CVX-228;VAC1072;COVID-19 mRNA vaccine, original virus, 25 µg, unspecified
CVX-11;VAC0796;Pertussis vaccine, unspecified
